degree,year,count
AmericanStudies(BA),sr,2
Anthropology(BA),sr,12
Anthropology(BS),sr,26
AppliedMathematics(BS),sr,7
ArabicAndMiddleEastStudies(BA),sr,3
ArtHistory(BA),sr,2
AsianStudies(BA),sr,1
Astronomy(BS),sr,0
Astrophysics(BS),sr,7
AviationAdministration(BSA),sr,4
AviationSciences(BSA),sr,20
Biochemistry(BA),sr,9
Biochemistry(BS),sr,132
Biology(BS),sr,376
Chemistry(BA),sr,1
Chemistry(BS),sr,24
Classics(BA),sr,3
ClinicalLaboratoryScience(BS),sr,1
Communication(BA),sr,164
CommunicationSpecialist(BA),sr,21
ComputerScience(BA),sr,2
EarthScience(BA),sr,1
Economics(BA),sr,11
Economics(BS),sr,15
English(BA),sr,19
EnvironmentalHealthScience(BS),sr,5
EnvironmentalScience(BS),sr,31
EnvironmentalStudies(BA),sr,28
FilmAndDigitalMedia(BA),sr,42
French(BA),sr,1
Geology(BS),sr,6
Geosciences(BS),sr,5
German(BA),sr,1
GreekAndRomanStudies(BA),sr,0
History(BA),sr,42
HumanitiesResearchFellows(BA),sr,0
InternationalStudies(BA),sr,37
Journalism(BA),sr,64
Linguistics(BA),sr,3
Mathematics(BA),sr,7
Mathematics(BS),sr,17
MedicalHumanities(BA),sr,82
MuseumStudies(BA),sr,1
Music(BA),sr,7
Neuroscience(BS),sr,143
Philosophy(BA),sr,16
Physics(BA),sr,0
Physics(BS),sr,7
PoliticalScience(BA),sr,109
Pre-FilmAndDigitalMedia(BA),sr,0
Pre-Neuroscience(BS),sr,6
Pre-Psychology(BA),sr,9
Pre-Psychology(BS),sr,5
PreMajorInMedicalHumanities(BA),sr,0
ProfsnlWritingAndRhetoric(BA),sr,16
Psychology(BA),sr,136
Psychology(BS),sr,41
Religion(BA),sr,34
Russian(BA),sr,1
ScienceResearchFellows(BS),sr,21
Sociology(BA),sr,40
Spanish(BA),sr,5
Statistics(BS),sr,13
StudioArt(BA),sr,8
StudioArt(BFA),sr,24
TheatreArts(BA),sr,3
TheatreDesignAndTechnology(BFA),sr,11
TheatrePerformance(BFA),sr,27
Undecided-AS(BA),sr,9
Undecided-AS(BS),sr,2
