number,bottlecode,filtered,system,station,intent,lat,lon,groupname,datecollect,timecollect,watertype,depth_m,poresizeiffiltered_micron,ambientTF,experimenttype,methodcollect,sampleuser,recorduser,note,flag,dateentered
456,1038-02,UF,Lake Brownwood,BW2,tnp,31.824617,-99.057317,flame,8/6/2022,13:52,surface,0.25,,TRUE,none,grab,,MM,,,11/27/2022
457,1026-02,UF,Lake Brownwood,BW3,tnp,31.8388,-99.004467,flame,8/6/2022,14:20,surface,0.25,,TRUE,none,grab,,MM,,,11/27/2022
458,1027-02,UF,Lake Brownwood,BW3,tnp,31.8388,-99.004467,flame,8/6/2022,14:20,surface,0.25,,TRUE,none,grab,,MM,,,11/27/2022
459,1028-02,UF,Lake Brownwood,BW3,tnp,31.8388,-99.004467,flame,8/6/2022,14:20,surface,0.25,,TRUE,none,grab,,MM,,,11/27/2022
460,0715-04,UF,Lake Brownwood,BW4,tnp,31.886317,-99.021583,flame,8/6/2022,15:00,surface,0.25,,TRUE,none,grab,,MM,,,11/27/2022
461,0713-04,UF,Lake Brownwood,BW4,tnp,31.886317,-99.021583,flame,8/6/2022,15:00,surface,0.25,,TRUE,none,grab,,MM,,,11/27/2022
462,0705-14,UF,Lake Brownwood,BW4,tnp,31.886317,-99.021583,flame,8/6/2022,15:00,surface,0.25,,TRUE,none,grab,,MM,,,11/27/2022
463,1003-01,F,Lake Brownwood,BW1,tdnp,31.83805,-99.097983,flame,8/6/2022,13:26,surface,0.25,0.7,TRUE,none,grab,,MM,,,11/27/2022
464,1004-01,F,Lake Brownwood,BW1,tdnp,31.83805,-99.097983,flame,8/6/2022,13:26,surface,0.25,0.7,TRUE,none,grab,,MM,,,11/27/2022
465,1005-01,F,Lake Brownwood,BW1,tdnp,31.83805,-99.097983,flame,8/6/2022,13:26,surface,0.25,0.7,TRUE,none,grab,,MM,,,11/27/2022
466,0990-01,F,Lake Brownwood,BW2,tdnp,31.824617,-99.057317,flame,8/6/2022,13:52,surface,0.25,0.7,TRUE,none,grab,,MM,,,11/27/2022
467,0255-14,F,Lake Brownwood,BW2,tdnp,31.824617,-99.057317,flame,8/6/2022,13:52,surface,0.25,0.7,TRUE,none,grab,,MM,,,11/27/2022
468,0977-14,F,Lake Brownwood,BW2,tdnp,31.824617,-99.057317,flame,8/6/2022,13:52,surface,0.25,0.7,TRUE,none,grab,,MM,,,11/27/2022
469,0989-14,F,Lake Brownwood,BW3,tdnp,31.8388,-99.004467,flame,8/6/2022,14:20,surface,0.25,0.7,TRUE,none,grab,,MM,,,11/27/2022
470,0476-01,F,Lake Brownwood,BW3,tdnp,31.8388,-99.004467,flame,8/6/2022,14:20,surface,0.25,0.7,TRUE,none,grab,,MM,,,11/27/2022
471,0475-01,F,Lake Brownwood,BW3,tdnp,31.8388,-99.004467,flame,8/6/2022,14:20,surface,0.25,0.7,TRUE,none,grab,,MM,,,11/27/2022
472,0981-14,F,Lake Brownwood,BW4,tdnp,31.886317,-99.021583,flame,8/6/2022,15:00,surface,0.25,0.7,TRUE,none,grab,,MM,,,11/27/2022
473,0283-14,F,Lake Brownwood,BW4,tdnp,31.886317,-99.021583,flame,8/6/2022,15:00,surface,0.25,0.7,TRUE,none,grab,,MM,,,11/27/2022
474,0985-14,F,Lake Brownwood,BW4,tdnp,31.886317,-99.021583,flame,8/6/2022,15:00,surface,0.25,0.7,TRUE,none,grab,,MM,,,11/27/2022
475,1088-01,F,Lake Brownwood,BW1,dnp,31.83805,-99.097983,flame,8/6/2022,13:26,surface,0.25,0.7,TRUE,none,grab,,MM,,,11/27/2022
476,1087-01,F,Lake Brownwood,BW1,dnp,31.83805,-99.097983,flame,8/6/2022,13:26,surface,0.25,0.7,TRUE,none,grab,,MM,,,11/27/2022
477,1089-01,F,Lake Brownwood,BW1,dnp,31.83805,-99.097983,flame,8/6/2022,13:26,surface,0.25,0.7,TRUE,none,grab,,MM,,,11/27/2022
478,1075-01,F,Lake Brownwood,BW2,dnp,31.824617,-99.057317,flame,8/6/2022,13:52,surface,0.25,0.7,TRUE,none,grab,,MM,,,11/27/2022
479,1076-01,F,Lake Brownwood,BW2,dnp,31.824617,-99.057317,flame,8/6/2022,13:52,surface,0.25,0.7,TRUE,none,grab,,MM,,,11/27/2022
480,1077-01,F,Lake Brownwood,BW2,dnp,31.824617,-99.057317,flame,8/6/2022,13:52,surface,0.25,0.7,TRUE,none,grab,,MM,,,11/27/2022
481,1059-01,F,Lake Brownwood,BW3,dnp,31.8388,-99.004467,flame,8/6/2022,14:20,surface,0.25,0.7,TRUE,none,grab,,MM,,,11/27/2022
482,1058-01,F,Lake Brownwood,BW3,dnp,31.8388,-99.004467,flame,8/6/2022,14:20,surface,0.25,0.7,TRUE,none,grab,,MM,,,11/27/2022
483,1054-01,F,Lake Brownwood,BW3,dnp,31.8388,-99.004467,flame,8/6/2022,14:20,surface,0.25,0.7,TRUE,none,grab,,MM,,,11/27/2022
484,1062-01,F,Lake Brownwood,BW4,dnp,31.886317,-99.021583,flame,8/6/2022,15:00,surface,0.25,0.7,TRUE,none,grab,,MM,,,11/27/2022
485,1061-01,F,Lake Brownwood,BW4,dnp,31.886317,-99.021583,flame,8/6/2022,15:00,surface,0.25,0.7,TRUE,none,grab,,MM,,,11/27/2022
486,1060-01,F,Lake Brownwood,BW4,dnp,31.886317,-99.021583,flame,8/6/2022,15:00,surface,0.25,0.7,TRUE,none,grab,,MM,,,11/27/2022
487,1140-01,F,Lake Brownwood,BW1,ic,31.83805,-99.097983,flame,8/6/2022,13:26,surface,0.25,0.7,TRUE,none,grab,,MM,,,11/27/2022
488,1141-01,F,Lake Brownwood,BW1,ic,31.83805,-99.097983,flame,8/6/2022,13:26,surface,0.25,0.7,TRUE,none,grab,,MM,,,11/27/2022
489,1142-01,F,Lake Brownwood,BW1,ic,31.83805,-99.097983,flame,8/6/2022,13:26,surface,0.25,0.7,TRUE,none,grab,,MM,,,11/27/2022
490,0823-01,F,Lake Brownwood,BW2,ic,31.824617,-99.057317,flame,8/6/2022,13:52,surface,0.25,0.7,TRUE,none,grab,,MM,,,11/27/2022
491,0831-01,F,Lake Brownwood,BW2,ic,31.824617,-99.057317,flame,8/6/2022,13:52,surface,0.25,0.7,TRUE,none,grab,,MM,,,11/27/2022
492,0797-01,F,Lake Brownwood,BW2,ic,31.824617,-99.057317,flame,8/6/2022,13:52,surface,0.25,0.7,TRUE,none,grab,,MM,,,11/27/2022
493,0826-01,F,Lake Brownwood,BW3,ic,31.8388,-99.004467,flame,8/6/2022,14:20,surface,0.25,0.7,TRUE,none,grab,,MM,,,11/27/2022
494,0818-01,F,Lake Brownwood,BW3,ic,31.8388,-99.004467,flame,8/6/2022,14:20,surface,0.25,0.7,TRUE,none,grab,,MM,,,11/27/2022
495,0822-01,F,Lake Brownwood,BW3,ic,31.8388,-99.004467,flame,8/6/2022,14:20,surface,0.25,0.7,TRUE,none,grab,,MM,,,11/27/2022
496,0796-01,F,Lake Brownwood,BW4,ic,31.886317,-99.021583,flame,8/6/2022,15:00,surface,0.25,0.7,TRUE,none,grab,,MM,,,11/27/2022
497,0795-01,F,Lake Brownwood,BW4,ic,31.886317,-99.021583,flame,8/6/2022,15:00,surface,0.25,0.7,TRUE,none,grab,,MM,,,11/27/2022
498,0812-01,F,Lake Brownwood,BW4,ic,31.886317,-99.021583,flame,8/6/2022,15:00,surface,0.25,0.7,TRUE,none,grab,,MM,,,11/27/2022
499,0702-13,UF,Lake OH Ivie,IV1,DOC/DIC,31.554717,-99.713467,flame,8/7/2022,10:32,surface,0.25,,TRUE,none,grab,,,,,11/27/2022
500,0889-13,UF,Lake OH Ivie,IV2,DOC/DIC,31.492633,-99.694383,flame,8/7/2022,12:05,surface,0.25,,TRUE,none,grab,,,,,11/27/2022
501,0885-13,UF,Lake OH Ivie,IV3,DOC/DIC,31.502617,-99.66905,flame,8/7/2022,12:18,surface,0.25,,TRUE,none,grab,,,,,11/27/2022
502,0697-13,UF,Lake OH Ivie,IV4,DOC/DIC,31.58,-99.684533,flame,8/7/2022,12:55,surface,0.25,,TRUE,none,grab,,,,,11/27/2022
503,1184-16,UF,Lake OH Ivie,IV1,UF bottle,31.554717,-99.713467,flame,8/7/2022,10:32,surface,0.25,,TRUE,none,grab,,,,,11/27/2022
504,1192-16,UF,Lake OH Ivie,IV2,UF bottle,31.492633,-99.694383,flame,8/7/2022,12:05,surface,0.25,,TRUE,none,grab,,,,,11/27/2022
505,1198-16,UF,Lake OH Ivie,IV3,UF bottle,31.502617,-99.66905,flame,8/7/2022,12:18,surface,0.25,,TRUE,none,grab,,,,,11/27/2022
506,1185-16,UF,Lake OH Ivie,IV4,UF bottle,31.58,-99.684533,flame,8/7/2022,12:55,surface,0.25,,TRUE,none,grab,,,,,11/27/2022
507,1153-17,UF,Lake OH Ivie,IV1,F bottle,31.554717,-99.713467,flame,8/7/2022,10:32,surface,0.25,,TRUE,none,grab,,MM,,,11/27/2022
508,1156-17,UF,Lake OH Ivie,IV2,F bottle,31.492633,-99.694383,flame,8/7/2022,12:05,surface,0.25,,TRUE,none,grab,,MM,,,11/27/2022
509,1167-17,UF,Lake OH Ivie,IV3,F bottle,31.502617,-99.66905,flame,8/7/2022,12:18,surface,0.25,,TRUE,none,grab,,MM,,,11/27/2022
510,1152-17,UF,Lake OH Ivie,IV4,F bottle,31.58,-99.684533,flame,8/7/2022,12:55,surface,0.25,,TRUE,none,grab,,MM,,,11/27/2022
511,0574-04,UF,Lake OH Ivie,IV1,tnp,31.554717,-99.713467,flame,8/7/2022,10:32,surface,0.25,,TRUE,none,grab,,MM,,,11/27/2022
512,0709-04,UF,Lake OH Ivie,IV1,tnp,31.554717,-99.713467,flame,8/7/2022,10:32,surface,0.25,,TRUE,none,grab,,,,,11/27/2022
513,0572-04,UF,Lake OH Ivie,IV1,tnp,31.554717,-99.713467,flame,8/7/2022,10:32,surface,0.25,,TRUE,none,grab,,,,,11/27/2022
514,0735-04,UF,Lake OH Ivie,IV2,tnp,31.492633,-99.694383,flame,8/7/2022,12:05,surface,0.25,,TRUE,none,grab,,MM,,,11/27/2022
515,0721-04,UF,Lake OH Ivie,IV2,tnp,31.492633,-99.694383,flame,8/7/2022,12:05,surface,0.25,,TRUE,none,grab,,MM,,,11/27/2022
516,0722-04,UF,Lake OH Ivie,IV2,tnp,31.492633,-99.694383,flame,8/7/2022,12:05,surface,0.25,,TRUE,none,grab,,MM,,,11/27/2022
517,1032-02,UF,Lake OH Ivie,IV3,tnp,31.502617,-99.66905,flame,8/7/2022,12:18,surface,0.25,,TRUE,none,grab,,MM,,,11/27/2022
518,1033-02,UF,Lake OH Ivie,IV3,tnp,31.502617,-99.66905,flame,8/7/2022,12:18,surface,0.25,,TRUE,none,grab,,MM,,,11/27/2022
519,1034-02,UF,Lake OH Ivie,IV3,tnp,31.502617,-99.66905,flame,8/7/2022,12:18,surface,0.25,,TRUE,none,grab,,MM,,,11/27/2022
520,0730-04,UF,Lake OH Ivie,IV4,tnp,31.58,-99.684533,flame,8/7/2022,12:55,surface,0.25,,TRUE,none,grab,,MM,,,11/27/2022
521,074-04,UF,Lake OH Ivie,IV4,tnp,31.58,-99.684533,flame,8/7/2022,12:55,surface,0.25,,TRUE,none,grab,,MM,,,11/27/2022
522,0729-04,UF,Lake OH Ivie,IV4,tnp,31.58,-99.684533,flame,8/7/2022,12:55,surface,0.25,,TRUE,none,grab,,MM,,,11/27/2022
523,0982-14,F,Lake OH Ivie,IV1,tdnp,31.554717,-99.713467,flame,8/7/2022,10:32,surface,0.25,0.7,TRUE,none,grab,,MM,,,11/27/2022
524,0983-14,F,Lake OH Ivie,IV1,tdnp,31.554717,-99.713467,flame,8/7/2022,10:32,surface,0.25,0.7,TRUE,none,grab,,,,,11/27/2022
525,0986-14,F,Lake OH Ivie,IV1,tdnp,31.554717,-99.713467,flame,8/7/2022,10:32,surface,0.25,0.7,TRUE,none,grab,,,,,11/27/2022
526,0991-14,F,Lake OH Ivie,IV2,tdnp,31.492633,-99.694383,flame,8/7/2022,12:05,surface,0.25,0.7,TRUE,none,grab,,MM,,,11/27/2022
527,0992-14,F,Lake OH Ivie,IV2,tdnp,31.492633,-99.694383,flame,8/7/2022,12:05,surface,0.25,0.7,TRUE,none,grab,,MM,,,11/27/2022
528,0993-14,F,Lake OH Ivie,IV2,tdnp,31.492633,-99.694383,flame,8/7/2022,12:05,surface,0.25,0.7,TRUE,none,grab,,MM,,,11/27/2022
529,0979-14,F,Lake OH Ivie,IV3,tdnp,31.502617,-99.66905,flame,8/7/2022,12:18,surface,0.25,0.7,TRUE,none,grab,,MM,,,11/27/2022
530,0988-14,F,Lake OH Ivie,IV3,tdnp,31.502617,-99.66905,flame,8/7/2022,12:18,surface,0.25,0.7,TRUE,none,grab,,MM,,,11/27/2022
531,0987-14,F,Lake OH Ivie,IV3,tdnp,31.502617,-99.66905,flame,8/7/2022,12:18,surface,0.25,0.7,TRUE,none,grab,,MM,,,11/27/2022
532,0282-14,F,Lake OH Ivie,IV4,tdnp,31.58,-99.684533,flame,8/7/2022,12:55,surface,0.25,0.7,TRUE,none,grab,,MM,,,11/27/2022
533,0284-14,F,Lake OH Ivie,IV4,tdnp,31.58,-99.684533,flame,8/7/2022,12:55,surface,0.25,0.7,TRUE,none,grab,,MM,,,11/27/2022
534,0285-14,F,Lake OH Ivie,IV4,tdnp,31.58,-99.684533,flame,8/7/2022,12:55,surface,0.25,0.7,TRUE,none,grab,,MM,,,11/27/2022
535,1074-01,F,Lake OH Ivie,IV1,dnp,31.554717,-99.713467,flame,8/7/2022,10:32,surface,0.25,0.7,TRUE,none,grab,,MM,,,11/27/2022
536,1073-01,F,Lake OH Ivie,IV1,dnp,31.554717,-99.713467,flame,8/7/2022,10:32,surface,0.25,0.7,TRUE,none,grab,,,,,11/27/2022
537,1072-01,F,Lake OH Ivie,IV1,dnp,31.554717,-99.713467,flame,8/7/2022,10:32,surface,0.25,0.7,TRUE,none,grab,,,,,11/27/2022
538,1081-01,F,Lake OH Ivie,IV2,dnp,31.492633,-99.694383,flame,8/7/2022,12:05,surface,0.25,0.7,TRUE,none,grab,,MM,,,11/27/2022
539,1082-01,F,Lake OH Ivie,IV2,dnp,31.492633,-99.694383,flame,8/7/2022,12:05,surface,0.25,0.7,TRUE,none,grab,,MM,,,11/27/2022
540,1083-01,F,Lake OH Ivie,IV2,dnp,31.492633,-99.694383,flame,8/7/2022,12:05,surface,0.25,0.7,TRUE,none,grab,,MM,,,11/27/2022
541,1065-01,F,Lake OH Ivie,IV3,dnp,31.502617,-99.66905,flame,8/7/2022,12:18,surface,0.25,0.7,TRUE,none,grab,,MM,,,11/27/2022
542,1064-01,F,Lake OH Ivie,IV3,dnp,31.502617,-99.66905,flame,8/7/2022,12:18,surface,0.25,0.7,TRUE,none,grab,,MM,,,11/27/2022
543,1063-01,F,Lake OH Ivie,IV3,dnp,31.502617,-99.66905,flame,8/7/2022,12:18,surface,0.25,0.7,TRUE,none,grab,,MM,,,11/27/2022
544,1066-01,F,Lake OH Ivie,IV4,dnp,31.58,-99.684533,flame,8/7/2022,12:55,surface,0.25,0.7,TRUE,none,grab,,MM,,,11/27/2022
545,1067-01,F,Lake OH Ivie,IV4,dnp,31.58,-99.684533,flame,8/7/2022,12:55,surface,0.25,0.7,TRUE,none,grab,,MM,,,11/27/2022
546,1068-01,F,Lake OH Ivie,IV4,dnp,31.58,-99.684533,flame,8/7/2022,12:55,surface,0.25,0.7,TRUE,none,grab,,MM,,,11/27/2022
547,0825-01,F,Lake OH Ivie,IV1,ic,31.554717,-99.713467,flame,8/7/2022,10:32,surface,0.25,0.7,TRUE,none,grab,,MM,,,11/27/2022
548,0830-01,F,Lake OH Ivie,IV1,ic,31.554717,-99.713467,flame,8/7/2022,10:32,surface,0.25,0.7,TRUE,none,grab,,,,,11/27/2022
549,0829-01,F,Lake OH Ivie,IV1,ic,31.554717,-99.713467,flame,8/7/2022,10:32,surface,0.25,0.7,TRUE,none,grab,,,,,11/27/2022
550,0792-01,F,Lake OH Ivie,IV2,ic,31.492633,-99.694383,flame,8/7/2022,12:05,surface,0.25,0.7,TRUE,none,grab,,MM,,,11/27/2022
551,0800-01,F,Lake OH Ivie,IV2,ic,31.492633,-99.694383,flame,8/7/2022,12:05,surface,0.25,0.7,TRUE,none,grab,,MM,,,11/27/2022
552,0824-01,F,Lake OH Ivie,IV2,ic,31.492633,-99.694383,flame,8/7/2022,12:05,surface,0.25,0.7,TRUE,none,grab,,MM,,,11/27/2022
554,0814-01,F,Lake OH Ivie,IV3,ic,31.502617,-99.66905,flame,8/7/2022,12:18,surface,0.25,0.7,TRUE,none,grab,,MM,,,11/27/2022
555,1143-01,F,Lake OH Ivie,IV3,ic,31.502617,-99.66905,flame,8/7/2022,12:18,surface,0.25,0.7,TRUE,none,grab,,MM,,,11/27/2022
556,0821-01,F,Lake OH Ivie,IV4,ic,31.58,-99.684533,flame,8/7/2022,12:55,surface,0.25,0.7,TRUE,none,grab,,MM,,,11/27/2022
557,0817-01,F,Lake OH Ivie,IV4,ic,31.58,-99.684533,flame,8/7/2022,12:55,surface,0.25,0.7,TRUE,none,grab,,MM,,,11/27/2022
558,0820-01,F,Lake OH Ivie,IV4,ic,31.58,-99.684533,flame,8/7/2022,12:55,surface,0.25,0.7,TRUE,none,grab,,MM,,,11/27/2022
559,0703-13,UF,Red Bluff Reservoir,RB1,DOC/DIC,31.901717,-103.913717,flame,8/8/2022,10:38,surface,0.25,,TRUE,none,grab,,MM,,,11/27/2022
560,0883-13,UF,Red Bluff Reservoir,RB2,DOC/DIC,32.00235,-103.979733,flame,8/8/2022,11:35,surface,0.25,,TRUE,none,grab,,MM,,,11/27/2022
561,0894-13,UF,Red Bluff Reservoir,RB3,DOC/DIC,31.986317,-103.981383,flame,8/8/2022,11:52,surface,0.25,,TRUE,none,grab,,MM,,,11/27/2022
562,0698-13,UF,Red Bluff Reservoir,RB4,DOC/DIC,31.969367,-103.947133,flame,8/8/2022,12:12,surface,0.25,,TRUE,none,grab,,MM,,,11/27/2022
563,0890-13,UF,Red Bluff Reservoir,RB5,DOC/DIC,31.9463,-103.942183,flame,8/8/2022,12:25,surface,0.25,,TRUE,none,grab,,MM,,,11/27/2022
564,0892-13,UF,Red Bluff Reservoir,RB6,DOC/DIC,31.928883,-103.91895,flame,8/8/2022,12:38,surface,0.25,,TRUE,none,grab,,MM,,,11/27/2022
565,1189-16,UF,Red Bluff Reservoir,RB1,UF bottle,31.901717,-103.913717,flame,8/8/2022,10:38,surface,0.25,,TRUE,none,grab,,MM,,,11/27/2022
566,1186-16,UF,Red Bluff Reservoir,RB2,UF bottle,32.00235,-103.979733,flame,8/8/2022,11:35,surface,0.25,,TRUE,none,grab,,MM,,,11/27/2022
567,1196-16,UF,Red Bluff Reservoir,RB3,UF bottle,31.986317,-103.981383,flame,8/8/2022,11:52,surface,0.25,,TRUE,none,grab,,MM,,,11/27/2022
568,1187-16,UF,Red Bluff Reservoir,RB4,UF bottle,31.969367,-103.947133,flame,8/8/2022,12:12,surface,0.25,,TRUE,none,grab,,MM,,,11/27/2022
569,1204-16,UF,Red Bluff Reservoir,RB5,UF bottle,31.9463,-103.942183,flame,8/8/2022,12:25,surface,0.25,,TRUE,none,grab,,MM,,,11/27/2022
570,1182-16,UF,Red Bluff Reservoir,RB6,UF bottle,31.928883,-103.91895,flame,8/8/2022,12:38,surface,0.25,,TRUE,none,grab,,MM,,,11/27/2022
571,1164-174,UF,Red Bluff Reservoir,RB1,F bottle,31.901717,-103.913717,flame,8/8/2022,10:38,surface,0.25,,TRUE,none,grab,,MM,,,11/27/2022
572,1155-17,UF,Red Bluff Reservoir,RB2,F bottle,32.00235,-103.979733,flame,8/8/2022,11:35,surface,0.25,,TRUE,none,grab,,MM,,,11/27/2022
573,1160-17,UF,Red Bluff Reservoir,RB3,F bottle,31.986317,-103.981383,flame,8/8/2022,11:52,surface,0.25,,TRUE,none,grab,,MM,,,11/27/2022
574,1163-17,UF,Red Bluff Reservoir,RB4,F bottle,31.969367,-103.947133,flame,8/8/2022,12:12,surface,0.25,,TRUE,none,grab,,MM,,,11/27/2022
575,1165-17,UF,Red Bluff Reservoir,RB5,F bottle,31.9463,-103.942183,flame,8/8/2022,12:25,surface,0.25,,TRUE,none,grab,,MM,,,11/27/2022
576,1150-17,UF,Red Bluff Reservoir,RB6,F bottle,31.928883,-103.91895,flame,8/8/2022,12:38,surface,0.25,,TRUE,none,grab,,MM,,,11/27/2022
577,0708-04,UF,Red Bluff Reservoir,RB1,tnp,31.901717,-103.913717,flame,8/8/2022,10:38,surface,0.25,,TRUE,none,grab,,MM,,,11/27/2022
578,0716-04,UF,Red Bluff Reservoir,RB1,tnp,31.901717,-103.913717,flame,8/8/2022,10:38,surface,0.25,,TRUE,none,grab,,MM,,,11/27/2022
579,0719-04,UF,Red Bluff Reservoir,RB1,tnp,31.901717,-103.913717,flame,8/8/2022,10:38,surface,0.25,,TRUE,none,grab,,MM,,,11/27/2022
580,0706-04,UF,Red Bluff Reservoir,RB2,tnp,32.00235,-103.979733,flame,8/8/2022,11:35,surface,0.25,,TRUE,none,grab,,MM,,,11/27/2022
581,0728-04,UF,Red Bluff Reservoir,RB2,tnp,32.00235,-103.979733,flame,8/8/2022,11:35,surface,0.25,,TRUE,none,grab,,MM,,,11/27/2022
582,1022-02,UF,Red Bluff Reservoir,RB2,tnp,32.00235,-103.979733,flame,8/8/2022,11:35,surface,0.25,,TRUE,none,grab,,MM,,,11/27/2022
583,0734-04,UF,Red Bluff Reservoir,RB3,tnp,31.986317,-103.981383,flame,8/8/2022,11:52,surface,0.25,,TRUE,none,grab,,MM,,,11/27/2022
584,0727-04,UF,Red Bluff Reservoir,RB3,tnp,31.986317,-103.981383,flame,8/8/2022,11:52,surface,0.25,,TRUE,none,grab,,MM,,,11/27/2022
585,0768-02,UF,Red Bluff Reservoir,RB3,tnp,31.986317,-103.981383,flame,8/8/2022,11:52,surface,0.25,,TRUE,none,grab,,MM,,,11/27/2022
586,0723-04,UF,Red Bluff Reservoir,RB4,tnp,31.969367,-103.947133,flame,8/8/2022,12:12,surface,0.25,,TRUE,none,grab,,MM,,,11/27/2022
587,0731-04,UF,Red Bluff Reservoir,RB4,tnp,31.969367,-103.947133,flame,8/8/2022,12:12,surface,0.25,,TRUE,none,grab,,MM,,,11/27/2022
588,0287-15,UF,Red Bluff Reservoir,RB4,tnp,31.969367,-103.947133,flame,8/8/2022,12:12,surface,0.25,,TRUE,none,grab,,MM,,,11/27/2022
589,1030-02,UF,Red Bluff Reservoir,RB5,tnp,31.9463,-103.942183,flame,8/8/2022,12:25,surface,0.25,,TRUE,none,grab,,MM,,,11/27/2022
590,1031-02,UF,Red Bluff Reservoir,RB5,tnp,31.9463,-103.942183,flame,8/8/2022,12:25,surface,0.25,,TRUE,none,grab,,MM,,,11/27/2022
591,1029-02,UF,Red Bluff Reservoir,RB5,tnp,31.9463,-103.942183,flame,8/8/2022,12:25,surface,0.25,,TRUE,none,grab,,MM,,,11/27/2022
592,0763-02,UF,Red Bluff Reservoir,RB6,tnp,31.928883,-103.91895,flame,8/8/2022,12:38,surface,0.25,,TRUE,none,grab,,MM,,,11/27/2022
593,0766-02,UF,Red Bluff Reservoir,RB6,tnp,31.928883,-103.91895,flame,8/8/2022,12:38,surface,0.25,,TRUE,none,grab,,MM,,,11/27/2022
594,0762-02,UF,Red Bluff Reservoir,RB6,tnp,31.928883,-103.91895,flame,8/8/2022,12:38,surface,0.25,,TRUE,none,grab,,MM,,,11/27/2022
595,1111-01,F,Red Bluff Reservoir,RB1,tdnp,31.901717,-103.913717,flame,8/8/2022,10:38,surface,0.25,0.7,TRUE,none,grab,,MM,,,11/27/2022
596,1021-01,F,Red Bluff Reservoir,RB1,tdnp,31.901717,-103.913717,flame,8/8/2022,10:38,surface,0.25,0.7,TRUE,none,grab,,MM,,,11/27/2022
597,1112-01,F,Red Bluff Reservoir,RB1,tdnp,31.901717,-103.913717,flame,8/8/2022,10:38,surface,0.25,0.7,TRUE,none,grab,,MM,,,11/27/2022
598,0980-14,F,Red Bluff Reservoir,RB2,tdnp,32.00235,-103.979733,flame,8/8/2022,11:35,surface,0.25,0.7,TRUE,none,grab,,MM,,,11/27/2022
599,0984-14,F,Red Bluff Reservoir,RB2,tdnp,32.00235,-103.979733,flame,8/8/2022,11:35,surface,0.25,0.7,TRUE,none,grab,,MM,,,11/27/2022
600,0978-14,F,Red Bluff Reservoir,RB2,tdnp,32.00235,-103.979733,flame,8/8/2022,11:35,surface,0.25,0.7,TRUE,none,grab,,MM,,,11/27/2022
601,1000-01,F,Red Bluff Reservoir,RB3,tdnp,31.986317,-103.981383,flame,8/8/2022,11:52,surface,0.25,0.7,TRUE,none,grab,,MM,,,11/27/2022
602,1002-01,F,Red Bluff Reservoir,RB3,tdnp,31.986317,-103.981383,flame,8/8/2022,11:52,surface,0.25,0.7,TRUE,none,grab,,MM,,,11/27/2022
603,1001-01,F,Red Bluff Reservoir,RB3,tdnp,31.986317,-103.981383,flame,8/8/2022,11:52,surface,0.25,0.7,TRUE,none,grab,,MM,,,11/27/2022
604,1017-01,F,Red Bluff Reservoir,RB4,tdnp,31.969367,-103.947133,flame,8/8/2022,12:12,surface,0.25,0.7,TRUE,none,grab,,MM,,,11/27/2022
605,1015-01,F,Red Bluff Reservoir,RB4,tdnp,31.969367,-103.947133,flame,8/8/2022,12:12,surface,0.25,0.7,TRUE,none,grab,,MM,,,11/27/2022
606,1016-01,F,Red Bluff Reservoir,RB4,tdnp,31.969367,-103.947133,flame,8/8/2022,12:12,surface,0.25,0.7,TRUE,none,grab,,MM,,,11/27/2022
607,0998-01,F,Red Bluff Reservoir,RB5,tdnp,31.9463,-103.942183,flame,8/8/2022,12:25,surface,0.25,0.7,TRUE,none,grab,,MM,,,11/27/2022
608,0999-01,F,Red Bluff Reservoir,RB5,tdnp,31.9463,-103.942183,flame,8/8/2022,12:25,surface,0.25,0.7,TRUE,none,grab,,MM,,,11/27/2022
609,0997-01,F,Red Bluff Reservoir,RB5,tdnp,31.9463,-103.942183,flame,8/8/2022,12:25,surface,0.25,0.7,TRUE,none,grab,,MM,,,11/27/2022
610,0280-14,F,Red Bluff Reservoir,RB6,tdnp,31.928883,-103.91895,flame,8/8/2022,12:38,surface,0.25,0.7,TRUE,none,grab,,MM,,,11/27/2022
611,0254-14,F,Red Bluff Reservoir,RB6,tdnp,31.928883,-103.91895,flame,8/8/2022,12:38,surface,0.25,0.7,TRUE,none,grab,,MM,,,11/27/2022
612,0281-14,F,Red Bluff Reservoir,RB6,tdnp,31.928883,-103.91895,flame,8/8/2022,12:38,surface,0.25,0.7,TRUE,none,grab,,MM,,,11/27/2022
613,1110-01,F,Red Bluff Reservoir,RB1,dnp,31.901717,-103.913717,flame,8/8/2022,10:38,surface,0.25,0.7,TRUE,none,grab,,MM,,,11/27/2022
614,1108-01,F,Red Bluff Reservoir,RB1,dnp,31.901717,-103.913717,flame,8/8/2022,10:38,surface,0.25,0.7,TRUE,none,grab,,MM,,,11/27/2022
615,1109-01,F,Red Bluff Reservoir,RB1,dnp,31.901717,-103.913717,flame,8/8/2022,10:38,surface,0.25,0.7,TRUE,none,grab,,MM,,,11/27/2022
616,1071-01,F,Red Bluff Reservoir,RB2,dnp,32.00235,-103.979733,flame,8/8/2022,11:35,surface,0.25,0.7,TRUE,none,grab,,MM,,,11/27/2022
617,1070-01,F,Red Bluff Reservoir,RB2,dnp,32.00235,-103.979733,flame,8/8/2022,11:35,surface,0.25,0.7,TRUE,none,grab,,MM,,,11/27/2022
